Name	z	L1.4GHz_e23	LLS_kpc	dc_kpc	MassMSun_e14	MassErrMSun_e14
ZwCl0008.8+5215 E	0.1032	15.4	1416	944	3.3	0.48
ZwCl0008.8+5215 W	0.1032	3	303	640	3.3	0.48
A2345 E	0.1765	26.6	1565	1304	5.71	0.475
A2345 W	0.1765	28.5	834	1096	5.71	0.475
A1240 N	0.159	4.3	866	762	3.71	0.52
A1240 S	0.159	7.3	1282	1039	3.71	0.52
RXCJ1314.4-2515 E	0.2439	16.8	1132	1023	6.15	0.71
RXCJ1314.4-2515 W	0.2439	39	913	621	6.15	0.71
MACSJ1149.5+2223 E	0.544	53.3	775	1476	8.55	0.795
MACSJ1149.5+2223 W	0.544	60.3	701	1108	8.55	0.795
MACSJ1752.0+4440 NE	0.366	331	1190	1091	6.96	0.545
MACSJ1752.0+4440 SW	0.366	150	694	892	6.96	0.545
A3376 E	0.046	6.1	1180	638	2.27	0.205
A3376 W	0.046	5.7	1039	1149	2.27	0.205
A3667 E	0.056	19.6	1430	1344	5.77	0.24
A3667 W	0.056	271	2000	2000	5.77	0.24
ZwCl2341.1+0000 N	0.27	18.2	574	738	5.15	0.665
ZwCl2341.1+0000 S	0.27	40.9	1230	1189	5.15	0.665
ACT-CLJ0102-4915 NW	0.87	296	500	1237	8.8	0.655
ACT-CLJ0102-4915 SE	0.87	44.8	294	382	8.8	0.655
PSZ1G287.0+32.9 NW	0.39	233	2482	600	13.89	0.535
PSZ1G287.0+32.9 SE	0.39	97.1	1578	2700	13.89	0.535
PSZ1G096.89+24.17 N	0.3	15.2	880	770	4.4	0.465
PSZ1G096.89+24.17 S	0.3	31.2	1419	1145	4.4	0.465
